entry,at,order
"The player ""Ben @ Mn8Pxw4x79"" stand up with the stack of 452.00.",2025-07-31T05:35:53.555Z,175394015355500
"Undealt cards: J♠, 6♥, 8♣ [6♠, A♣]",2025-07-31T05:35:31.655Z,175394013165500
"""Tobi @ C5IYwkBaOk"" shows a 9♠, 4♥, 4♠, 4♦.",2025-07-31T05:35:30.448Z,175394013044800
"""Greg @ bTWHIJcaFV"" shows a 10♣, K♥, 2♠, K♣.",2025-07-31T05:35:27.625Z,175394012762500
"-- ending hand #202 --",2025-07-31T05:35:25.735Z,175394012573502
"""Greg @ bTWHIJcaFV"" collected 21.00 from pot",2025-07-31T05:35:25.735Z,175394012573501
"Uncalled bet of 10.50 returned to ""Greg @ bTWHIJcaFV""",2025-07-31T05:35:25.735Z,175394012573500
"""Ben @ Mn8Pxw4x79"" folds",2025-07-31T05:35:24.904Z,175394012490400
"""Tobi @ C5IYwkBaOk"" folds",2025-07-31T05:35:23.922Z,175394012392200
"""Greg @ bTWHIJcaFV"" bets 10.50",2025-07-31T05:35:22.467Z,175394012246700
"""Ben @ Mn8Pxw4x79"" checks",2025-07-31T05:35:20.144Z,175394012014400
"""Tobi @ C5IYwkBaOk"" checks",2025-07-31T05:35:17.760Z,175394011776000
"Flop:  [J♠, 6♥, 8♣]",2025-07-31T05:35:15.417Z,175394011541700
"""Ben @ Mn8Pxw4x79"" calls 7.00",2025-07-31T05:35:14.580Z,175394011458000
"""Tobi @ C5IYwkBaOk"" calls 7.00",2025-07-31T05:35:12.884Z,175394011288400
"The admin ""Tobi @ C5IYwkBaOk"" enqueued the game stop on next hand.",2025-07-31T05:35:09.422Z,175394010942200
"""Greg @ bTWHIJcaFV"" raises to 7.00",2025-07-31T05:35:06.244Z,175394010624400
"""Ben @ Mn8Pxw4x79"" posts a big blind of 2.00",2025-07-31T05:35:03.966Z,175394010396606
"""Tobi @ C5IYwkBaOk"" posts a small blind of 1.00",2025-07-31T05:35:03.966Z,175394010396605
"Your hand is 9♠, 4♥, 4♠, 4♦",2025-07-31T05:35:03.966Z,175394010396603
"Player stacks: #1 ""Greg @ bTWHIJcaFV"" (2386.48) | #2 ""Tobi @ C5IYwkBaOk"" (962.77) | #6 ""Ben @ Mn8Pxw4x79"" (459.00)",2025-07-31T05:35:03.966Z,175394010396601
"-- starting hand #202 (id: p66to1uiallw)  (Pot Limit Omaha Hi) (dealer: ""Greg @ bTWHIJcaFV"") --",2025-07-31T05:35:03.966Z,175394010396600
"""Tobi @ C5IYwkBaOk"" shows a 9♣.",2025-07-31T05:35:01.819Z,175394010181900
"""Tobi @ C5IYwkBaOk"" shows a J♣.",2025-07-31T05:35:01.285Z,175394010128500
"""Greg @ bTWHIJcaFV"" shows a 8♣, J♥, 6♥, 8♦.",2025-07-31T05:35:00.307Z,175394010030700
"-- ending hand #201 --",2025-07-31T05:34:59.653Z,175394009965302
"""Greg @ bTWHIJcaFV"" collected 48.00 from pot",2025-07-31T05:34:59.653Z,175394009965301
"Uncalled bet of 36.00 returned to ""Greg @ bTWHIJcaFV""",2025-07-31T05:34:59.653Z,175394009965300
